Date,Silver
2000-08-30,4.93
2000-08-31,5.003
2000-09-01,5.004
2000-09-04,4.998
2000-09-05,4.998
2000-09-06,4.983
2000-09-07,4.935
2000-09-08,4.923
2000-09-11,4.885
2000-09-12,4.909
2000-09-13,4.892
2000-09-14,4.888
2000-09-15,4.868
2000-09-18,4.876
2000-09-19,4.883
2000-09-20,4.83
2000-09-21,4.872
2000-09-22,4.91
2000-09-25,4.915
2000-09-26,4.931
2000-09-27,4.968
2000-09-28,4.953
2000-09-29,4.899
2000-10-02,4.906
2000-10-03,4.913
2000-10-04,4.874
2000-10-05,4.889
2000-10-06,4.883
2000-10-09,4.885
2000-10-10,4.918
2000-10-11,4.87
2000-10-12,4.923
2000-10-13,4.883
2000-10-16,4.881
2000-10-17,4.843
2000-10-18,4.853
2000-10-19,4.828
2000-10-20,4.828
2000-10-23,4.786
2000-10-24,4.799
2000-10-25,4.764
2000-10-26,4.731
2000-10-27,4.746
2000-10-30,4.748
2000-10-31,4.754
2000-11-01,4.774
2000-11-02,4.711
2000-11-03,4.741
2000-11-06,4.761
2000-11-07,4.721
2000-11-08,4.739
2000-11-09,4.749
2000-11-10,4.707
2000-11-13,4.672
2000-11-14,4.679
2000-11-15,4.672
2000-11-16,4.66
2000-11-17,4.645
2000-11-20,4.642
2000-11-21,4.627
2000-11-22,4.625
2000-11-23,4.695
2000-11-24,4.695
2000-11-27,4.695
2000-11-28,4.698
2000-11-29,4.615
2000-11-30,4.674
2000-12-01,4.64
2000-12-04,4.714
2000-12-05,4.704
2000-12-06,4.754
2000-12-07,4.724
2000-12-08,4.648
2000-12-11,4.656
2000-12-12,4.66
2000-12-13,4.623
2000-12-14,4.598
2000-12-15,4.563
2000-12-18,4.575
2000-12-19,4.585
2000-12-20,4.596
2000-12-21,4.599
2000-12-22,4.611
2000-12-25,4.623
2000-12-26,4.623
2000-12-27,4.583
2000-12-28,4.587
2000-12-29,4.585
2001-01-01,4.545
2001-01-02,4.545
2001-01-03,4.49
2001-01-04,4.532
2001-01-05,4.555
2001-01-08,4.545
2001-01-09,4.55
2001-01-10,4.535
2001-01-11,4.557
2001-01-12,4.622
2001-01-15,4.677
2001-01-16,4.677
2001-01-17,4.71
2001-01-18,4.794
2001-01-19,4.749
2001-01-22,4.774
2001-01-23,4.776
2001-01-24,4.768
2001-01-25,4.785
2001-01-26,4.805
2001-01-29,4.803
2001-01-30,4.796
2001-01-31,4.791
2001-02-01,4.79
2001-02-02,4.768
2001-02-05,4.678
2001-02-06,4.653
2001-02-07,4.611
2001-02-08,4.56
2001-02-09,4.553
2001-02-12,4.553
2001-02-13,4.553
2001-02-14,4.58
2001-02-15,4.513
2001-02-16,4.488
2001-02-19,4.418
2001-02-20,4.418
2001-02-21,4.406
2001-02-22,4.413
2001-02-23,4.431
2001-02-26,4.443
2001-02-27,4.414
2001-02-28,4.472
2001-03-01,4.395
2001-03-02,4.419
2001-03-05,4.416
2001-03-06,4.408
2001-03-07,4.428
2001-03-08,4.476
2001-03-09,4.488
2001-03-12,4.409
2001-03-13,4.419
2001-03-14,4.428
2001-03-15,4.325
